Cruise ,Station,Type ,mon/day/yr,hh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth[m],Depth[m],Reference ,Doi,Pre-Press (calculated),Press ,Day ,Month ,Year ,ONI 3.4 region,ANOM 3.4 region,TNI,1+2 Coast,PDO state,Temperature insitu ,Temperature pot,Salinity CTD,Salinity bottle,Density sigma t,Density Kg/L,Oxygen (umol/Kg),Oxygen (umol/L),Oxygen (ml/L),AOU (umol/Kg),Oxygen (mg/L),PO4 [µmol/l],PO4 [µmol/Kg],NO2 [µmol/l],NO2 [µmol/Kg],SiO4 [µmol/l],SiO4 [µmol/Kg],NO3 [µmol/Kg],TCO2,DIC umol kg-1,Alkalinity (umol/Kg) measurement ,Alkalinity (umol/Kg) SW,pH NBS at 25C,pH sea water,pH total,pH plots,CFC12,"WCa at measurement conditions (20°C, P=0)","WAr at measurement conditions (20°C, P=0)",CO32-measurement conditions(µmol/kgSW),HCO3 measurements conditions (µmol/kgSW),WCa at ambient temp and P,WAr at at ambient temp and P,CO32- ambient temp and P µmol/kg SW),d18O,SD ?18O,d18O corr ,SD ?18O,dD,SD ?D,d13C,SD d13C,d13C Cristian,d18O eq calcite Kim and Oneil 1995 Discrimit ,d18O eq calcite Kim and Oneil 1995 d18O cal-d18Osw (theoretical one),d18O eq calcite Kim and Oneil 1995 d18O Equation ,"d18O eq calcite Lynch et al., 1999",d18Oeq Marchitto et al 2014,d18Oeq Marchitto et al 2014 cuadratic,Discriminate,Value discriminate,ESSW,ESSW %,AAIW,AAIW %,PDW,PDW %,STW,STW%,SAAW,SAAW %,Remineralization OMP,Denitrification OMP,Denitrification/100,Extrainfo,Extrainfo2,st,depth ,presure
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,204.05,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,204050,205.1,19,5,1992,1.1,1.16,-0.363,26.63,1.12,15.44,15.4,34.72,34.7168,25.66,1.026,232.3,238.34,5.34,,,0.338,0.33,0.39,0.38,0.45,0.44,1.46,,,,,,,,,1.359,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,251.841,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,251841,253.2,19,5,1992,1.1,1.16,-0.363,26.63,1.12,13.55,13.51,34.53,34.5445,25.92,1.026,214.7,220.28,4.93,,,0.687,0.67,0.03,0.03,0.95,0.93,7.1,,,,,,,,,1.321,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,301.952,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,301952,303.7,19,5,1992,1.1,1.16,-0.363,26.63,1.12,10.9,10.86,34.38,34.3829,26.32,1.026,214.4,219.97,4.93,,,1.108,1.08,0.02,0.02,2.13,2.08,13.41,,,,,,,,,1.182,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,352.756,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,352756,354.9,19,5,1992,1.1,1.16,-0.363,26.63,1.12,9.02,8.99,34.36,34.3533,26.61,1.027,211.6,217.31,4.87,,,1.417,1.38,0.02,0.02,3.98,3.88,18.35,,,,,,,,,0.941,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,402.98,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,402980,405.5,19,5,1992,1.1,1.16,-0.363,26.63,1.12,7.65,7.61,34.32,34.3186,26.79,1.027,219.2,225.12,5.04,,,1.602,1.56,0.02,0.02,5.67,5.52,21.64,,,,,,,,,0.906,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,451.922,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,451922,454.8,19,5,1992,1.1,1.16,-0.363,26.63,1.12,6.87,6.82,34.33,34.319,26.91,1.027,227.7,233.85,5.24,,,1.674,1.63,0.01,0.01,7.35,7.16,23.15,,,,,,,,,0.852,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,502.476,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,502476,505.7,19,5,1992,1.1,1.16,-0.363,26.63,1.12,6.48,6.44,34.32,34.3231,26.95,1.027,237.5,243.91,5.46,,,1.674,1.63,0.01,0.01,8.01,7.8,23.28,,,,,,,,,0.767,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,552.042,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,552042,555.6,19,5,1992,1.1,1.16,-0.363,26.63,1.12,6.18,6.13,34.31,34.3099,26.98,1.027,244.2,250.79,5.62,,,1.674,1.63,0.01,0.01,8.69,8.46,23.51,,,,,,,,,0.782,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,601.512,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,601512,605.4,19,5,1992,1.1,1.16,-0.363,26.63,1.12,5.93,5.88,34.29,34.2952,27,1.027,248.1,254.8,5.71,,,1.695,1.65,0.02,0.02,9.19,8.95,23.86,,,,,,,,,0.657,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,653.166,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,653166,657.4,19,5,1992,1.1,1.16,-0.363,26.63,1.12,5.7,5.64,34.28,34.2819,27.02,1.027,248.5,255.21,5.71,,,1.715,1.67,0.01,0.01,10.03,9.77,24.63,,,,,,,,,0.575,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,700.847,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,700847,705.4,19,5,1992,1.1,1.16,-0.363,26.63,1.12,5.5,5.44,34.27,34.2705,27.04,1.027,247.2,253.87,5.68,,,1.756,1.71,0,0,11.05,10.76,25.07,,,,,,,,,0.571,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,751.702,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,751702,756.6,19,5,1992,1.1,1.16,-0.363,26.63,1.12,5.28,5.22,34.26,34.2613,27.06,1.027,242.7,249.25,5.58,,,1.797,1.75,0,0,12.73,12.39,25.94,,,,,,,,,0.475,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,800.569,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,800569,805.8,19,5,1992,1.1,1.16,-0.363,26.63,1.12,5.08,5.02,34.26,34.2577,27.08,1.027,237.5,243.91,5.46,,,1.89,1.84,0.01,0.01,14.57,14.19,26.84,,,,,,,,,0.365,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,899.561,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,899561,905.5,19,5,1992,1.1,1.16,-0.363,26.63,1.12,4.6,4.52,34.27,34.2721,27.15,1.027,211.6,217.31,4.87,,,2.167,2.11,0.01,0.01,23.51,22.89,30.08,,,,,,,,,0.134,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,999.804,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,999804,1006.5,19,5,1992,1.1,1.16,-0.363,26.63,1.12,4.05,3.97,34.32,34.3231,27.24,1.027,181.7,186.61,4.18,,,2.455,2.39,0.01,0.01,37.67,36.67,33.44,,,,,,,,,0,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,1122.267,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1122267,1129.9,19,5,1992,1.1,1.16,-0.363,26.63,1.12,3.63,3.54,34.4,34.4025,27.35,1.027,149.3,153.33,3.43,,,2.692,2.62,0.02,0.02,56.38,54.88,36.44,,,,,,,,,0,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,1242.565,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1242565,1251.1,19,5,1992,1.1,1.16,-0.363,26.63,1.12,3.47,3.38,34.47,34.4673,27.42,1.027,126.1,129.5,2.9,,,2.805,2.73,0.01,0.01,72.05,70.13,38.2,,,,,,,,, ,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,1343.009,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1343009,1352.3,19,5,1992,1.1,1.16,-0.363,26.63,1.12,3.27,3.17,34.51,34.5125,27.47,1.027,122.2,125.5,2.81,,,2.815,2.74,0.02,0.02,82.34,80.14,38.38,,,,,,,,, ,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,1488.908,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1488908,1499.3,19,5,1992,1.1,1.16,-0.363,26.63,1.12,2.94,2.83,34.55,34.547,27.53,1.028,128.4,132,2.96,,,2.764,2.69,0.01,0.01,92.12,89.65,37.82,,,,,,,,, ,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,1689.804,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1689804,1701.7,19,5,1992,1.1,1.16,-0.363,26.63,1.12,2.57,2.45,34.58,34.5844,27.59,1.028,138.5,142.38,3.19,,,2.692,2.62,0.01,0.01,100.88,98.17,36.86,,,,,,,,, ,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,2085.928,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,2085928,2100.8,19,5,1992,1.1,1.16,-0.363,26.63,1.12,2.06,1.92,34.65,34.6447,27.68,1.028,155.7,160.06,3.58,,,2.559,2.49,0.02,0.02,111.82,108.81,35.2,,,,,,,,, ,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,2284.649,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,2284649,2301,19,5,1992,1.1,1.16,-0.363,26.63,1.12,1.93,1.76,34.67,34.6663,27.71,1.028,161.2,165.71,3.71,,,2.508,2.44,0.01,0.01,114.69,111.6,34.69,,,,,,,,, ,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,2486.562,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,2486562,2504.4,19,5,1992,1.1,1.16,-0.363,26.63,1.12,1.82,1.64,34.68,34.6804,27.73,1.028,165,169.62,3.8,,,2.497,2.43,0.01,0.01,118.07,114.88,34.4,,,,,,,,, ,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,2680.746,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,2680746,2700,19,5,1992,1.1,1.16,-0.363,26.63,1.12,1.75,1.56,34.68,34.6834,27.74,1.028,166.6,171.26,3.83,,,2.477,2.41,0.01,0.01,120.25,117,34.35,,,,,,,,, ,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,3079.065,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,3079065,3101.2,19,5,1992,1.1,1.16,-0.363,26.63,1.12,1.73,1.5,34.69,34.6895,27.74,1.028,167.8,172.5,3.86,,,2.487,2.42,0.02,0.02,121.24,117.97,34.3,,,,,,,,, ,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,3307.126,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,3307126,3330.9,19,5,1992,1.1,1.16,-0.363,26.63,1.12,1.74,1.48,34.69,34.6908,27.74,1.028,167.9,172.6,3.86,,,2.456,2.39,0.03,0.03,121.57,118.29,34.24,,,,,,,,, ,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,54,CTD/Bottle ,*,*,-100.6703,-32.4888,3518,3542.235,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,3542235,3567.7,19,5,1992,1.1,1.16,-0.363,26.63,1.12,1.75,1.47,34.69,34.6914,27.74,1.028,169.9,174.66,3.91,,,2.456,2.39,0.03,0.03,121.57,118.29,34.18,,,,,,,,, ,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,6.273,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,6273,6.3,21,5,1992,1.1,1.16,-0.363,26.63,1.12,19.15,19.15,34.78,34.7789,24.81,1.025,229.8,235.55,5.27,,,0.164,0.16,0.02,0.02,0.23,0.22,0.02,,,,,,,,,1.254,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,49.287,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,49287,49.5,21,5,1992,1.1,1.16,-0.363,26.63,1.12,19.16,19.15,34.78,34.7785,24.81,1.025,229.7,235.44,5.27,,,0.174,0.17,0.01,0.01,0.25,0.24,0.03,,,,,,,,,1.17,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,100.497,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,100497,101,21,5,1992,1.1,1.16,-0.363,26.63,1.12,16.39,16.38,34.81,34.8165,25.51,1.026,250.2,256.71,5.75,,,0.205,0.2,0.01,0.01,0.26,0.25,0.04,,,,,,,,,1.484,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,126.649,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,126649,127.3,21,5,1992,1.1,1.16,-0.363,26.63,1.12,15.5,15.48,34.73,34.7309,25.65,1.026,242.1,248.39,5.56,,,0.287,0.28,0.06,0.06,0.27,0.26,0.5,,,,,,,,,1.488,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,174.947,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,174947,175.9,21,5,1992,1.1,1.16,-0.363,26.63,1.12,13.38,13.36,34.55,34.5571,25.97,1.026,220.4,226.13,5.06,,,0.698,0.68,0.02,0.02,0.8,0.78,7.03,,,,,,,,, ,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,199.978,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,199978,201.1,21,5,1992,1.1,1.16,-0.363,26.63,1.12,12.52,12.49,34.54,34.5737,26.13,1.026,216.4,222.03,4.97,,,0.811,0.79,0.01,0.01,1.15,1.12,8.94,,,,,,,,,1.191,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,250.328,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,250328,251.8,21,5,1992,1.1,1.16,-0.363,26.63,1.12,10.72,10.69,34.47,34.4671,26.41,1.026,218.2,223.87,5.01,,,1.078,1.05,0,0,2.02,1.97,13.05,,,,,,,,,1.113,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,351.998,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,351998,354.2,21,5,1992,1.1,1.16,-0.363,26.63,1.12,7.85,7.82,34.36,34.3639,26.79,1.027,225,231.08,5.17,,,1.509,1.47,0,0,4.98,4.85,20.31,,,,,,,,,0.805,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,447.237,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,447237,450.1,21,5,1992,1.1,1.16,-0.363,26.63,1.12,6.71,6.66,34.34,34.3413,26.94,1.027,238.1,244.53,5.48,,,1.643,1.6,,,7.24,7.05,22.65,,,,,,,,,0.693,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,595.65,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,595650,599.5,21,5,1992,1.1,1.16,-0.363,26.63,1.12,5.99,5.94,34.3,34.3087,27,1.027,244.6,251.2,5.62,,,1.725,1.68,,,9.34,9.09,23.95,,,,,,,,,0.495,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,698.96,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,698960,703.5,21,5,1992,1.1,1.16,-0.363,26.63,1.12,5.58,5.52,34.28,34.2791,27.04,1.027,242.6,249.15,5.58,,,1.808,1.76,0,0,11.25,10.95,25.18,,,,,,,,,0.39,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,847.036,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,847036,852.6,21,5,1992,1.1,1.16,-0.363,26.63,1.12,4.88,4.81,34.27,34.2672,27.11,1.027,221.7,227.69,5.1,,,2.054,2,0,0,19.06,18.56,28.58,,,,,,,,,0.173,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,1047.166,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1047166,1054.2,21,5,1992,1.1,1.16,-0.363,26.63,1.12,3.94,3.86,34.33,34.3388,27.26,1.027,181,185.89,4.16,,,2.404,2.34,0.02,0.02,40.22,39.15,33.52,,,,,,,,,0,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,1246.927,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1246927,1255.5,21,5,1992,1.1,1.16,-0.363,26.63,1.12,3.38,3.29,34.47,34.4642,27.42,1.027,132.9,136.49,3.06,,,2.743,2.67,0,0,71.25,69.35,37.56,,,,,,,,, ,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,1494.342,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1494342,1504.8,21,5,1992,1.1,1.16,-0.363,26.63,1.12,2.68,2.58,34.54,34.5404,27.55,1.028,155.1,159.44,3.57,,,2.579,2.51,,,83.94,81.69,35.63,,,,,,,,, ,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,62,CTD/Bottle ,*,*,-105.99,-32.4982,3604,1891.236,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,1891236,1904.7,21,5,1992,1.1,1.16,-0.363,26.63,1.12,2.12,1.99,34.64,34.6421,27.67,1.028,158.6,163.04,3.65,,,2.528,2.46,0,0,106.5,103.63,34.84,,,,,,,,, ,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,11.948,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,11948,12,23,5,1992,1.1,1.16,-0.363,26.63,1.12,18.97,18.96,34.75,34.7486,24.84,1.025,231,236.78,5.3,,,0.164,0.16,0,0,0,0,0.02,,,,,,,,,1.259,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,56.654,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,56654,56.9,23,5,1992,1.1,1.16,-0.363,26.63,1.12,18.91,18.9,34.73,34.7445,24.84,1.025,231.7,237.49,5.32,,,0.174,0.17,0,0,0.17,0.17,0.06,,,,,,,,,1.274,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,106.957,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,106957,107.5,23,5,1992,1.1,1.16,-0.363,26.63,1.12,16.07,16.05,34.81,34.8013,25.59,1.026,249.3,255.78,5.73,,,0.215,0.21,0.01,0.01,0.17,0.17,0.13,,,,,,,,,1.291,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,130.527,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,130527,131.2,23,5,1992,1.1,1.16,-0.363,26.63,1.12,15.13,15.11,34.65,34.6486,25.67,1.026,247.5,253.94,5.69,,,0.277,0.27,0.06,0.06,0.17,0.17,0.64,,,,,,,,, ,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,205.463,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,205463,206.6,23,5,1992,1.1,1.16,-0.363,26.63,1.12,12.94,12.91,34.55,34.5392,26.05,1.026,225.2,231.06,5.17,,,0.708,0.69,0.01,0.01,0.7,0.68,7.36,,,,,,,,,1.388,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,253.714,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,253714,255.2,23,5,1992,1.1,1.16,-0.363,26.63,1.12,10.61,10.57,34.41,34.4188,26.39,1.026,225.6,231.47,5.18,,,1.026,1,0,0,1.57,1.53,12.55,,,,,,,,,1.287,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,353.208,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,353208,355.4,23,5,1992,1.1,1.16,-0.363,26.63,1.12,8.61,8.57,34.44,34.4336,26.74,1.027,216.6,222.45,4.98,,,1.417,1.38,,,4.54,4.42,18.77,,,,,,,,,0.795,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,453.903,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,453903,456.8,23,5,1992,1.1,1.16,-0.363,26.63,1.12,6.97,6.93,34.36,34.3686,26.92,1.027,239.5,245.97,5.51,,,1.571,1.53,0,0,6.28,6.12,21.61,,,,,,,,,0.832,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,554.233,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,554233,557.8,23,5,1992,1.1,1.16,-0.363,26.63,1.12,6.46,6.41,34.34,34.3499,26.98,1.027,245,251.62,5.63,,,1.633,1.59,,,7.52,7.32,22.49,,,,,,,,,0.728,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,604.401,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,604401,608.3,23,5,1992,1.1,1.16,-0.363,26.63,1.12,6.28,6.22,34.33,34.3341,26.99,1.027,245.3,251.92,5.64,,,1.664,1.62,0.01,0.01,8.39,8.17,23.15,,,,,,,,,0.587,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,653.074,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,653074,657.3,23,5,1992,1.1,1.16,-0.363,26.63,1.12,6.03,5.97,34.32,34.3284,27.01,1.027,244.6,251.2,5.62,,,1.715,1.67,0.01,0.01,9.43,9.18,23.84,,,,,,,,,0.485,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,703.238,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,703238,707.8,23,5,1992,1.1,1.16,-0.363,26.63,1.12,5.8,5.74,34.3,34.3066,27.03,1.027,242,248.53,5.57,,,1.756,1.71,0,0,10.65,10.37,24.63,,,,,,,,,0.486,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     316N138_3,69,CTD/Bottle ,*,*,-110.6722,-32.5018,2996,802.169,"Olsen et al., 2020",https://doi.org/10.5194/essd-12-3653-2020,802169,807.4,23,5,1992,1.1,1.16,-0.363,26.63,1.12,5.34,5.28,34.28,34.2838,27.06,1.027,232.5,238.78,5.35,,,1.9,1.85,0,0,14.68,14.29,26.55,,,,,,,,,0.242,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
